,title,year,Genre,Tags,Score,Watchers,Main Cast,img url,kdrama_id,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop
2243,Voice Season 2,2018.0,"Thriller, Mystery, Psychological","Investigation,, Strong Female Lead,, Leadership,, Suspense,, Kidnapping,, Tragic Past,, Teamwork,, Smart Female Lead,, Murder,, Impulsive Male Lead",8.4,,"Lee  Ha Na , Lee Jin Wook, Kwon Yool, Ahn Se Ha, Son Eun Seo, Kim Woo Seok",https://i.mydramalist.com/xEp0yc.jpg?v=1,37e854789afb4a7785f78751404e9f80,['Lee Seung Young'],['Ma Jin Won'],South Korea,Drama,12.0,3600.0,2018-08-11,2018-09-16,"Saturday, Sunday",OCN,15+ - Teens 15 or older,"Listen closely because skilled voice profiler Kang Kwon Joo is back. Working tirelessly at the Emergency Call Center, she uses her first-rate hearing to save lives and catch culprits. When it comes to responding to emergencies within the vital “golden time,” Kang Kwon Joo is simply the best.Do Kang Woo is a mysterious man who’s able to tap into the mind of a criminal. He also hides a secret pain that he doesn’t share with anyone. When he meets Kang Kwon Joo, they reluctantly form a team. She can hear crime; he can think it. Together, they take on the most dangerous criminals their city has ever seen.(Source: DramaFever)",593.0,1004.0
2244,Voice Season 3: City of Accomplices,2019.0,"Thriller, Mystery, Psychological, Crime","Strong Female Lead,, Leadership,, Tough Male Lead,, Investigation,, Calm Female Lead,, Teamwork,, Impulsive Male Lead,, Smart Female Lead,, Smart Male Lead,, Human Trafficking",8.3,,"Lee  Ha Na , Lee Jin Wook, Son Eun Seo, Kim Woo Seok, Kim Joong Ki, Song Boo Geon",https://i.mydramalist.com/z708ec.jpg?v=1,12c35bde5d6941148f61d4a9cde2567b,['Nam Ki Hoon'],['Ma Jin Won'],South Korea,Drama,16.0,3600.0,2019-05-11,2019-06-30,"Saturday, Sunday",OCN,15+ - Teens 15 or older,Emergency 112 call center members deal with an international evil cartel. The group is involved in the internet's dark web.(Source: AsianWiki) ,885.0,1484.0
2245,Voice Season 4: Judgment Hour,2021.0,"Action, Thriller, Mystery, Crime","Investigation,, Suspense,, Animal Abuse,, Psychological,, Special Power,, Perfectionist Male Lead,, Animal Death,, Childhood Trauma,, Strong Male Lead,, Smart Female Lead",8.3,,"Lee  Ha Na , Song Seung Heon, Son Eun Seo, Kang Seung Yoon, Baek Sung Hyun, Kim Joong Ki",https://i.mydramalist.com/Qoj34_4c.jpg?v=1,d0b4db4fc9e94886a0cf97584ba24bc0,"['Shin Yong Hwi', 'Yoon Ra Young']",['Ma Jin Won'],South Korea,Drama,14.0,3780.0,2021-06-18,2021-07-31,"Friday, Saturday",tvN,15+ - Teens 15 or older,"A serial killer with enhanced hearing ability, identical to Kang Kwon Joo, appears and starts murdering people using it. Because of this, Kang Kwon Joo is driven into a corner, and she decides to cooperate with Detective Derek Cho to catch the serial killer. Derek Cho, a person of principle who doesn’t allow mistakes, is a team leader from the LAPD (Los Angeles Police Department), a team that deals with criminal gangs. Meanwhile, Kwon Joo has suffered from PTSD since the death of Do Kang Woo, but she still carries out her duties as the leader of the emergency 112 call center. (Source: AsianWiki)",969.0,1804.0
2246,W,2016.0,"Thriller, Comedy, Romance, Fantasy","Parallel Dimension,, Gun Violence,, Crossworlds Traveler,, Steamy Kiss,, Rich Male Lead,, Lovers Separated,, Attempted Murder,, Murder,, Fight,, Revenge",8.5,,"Han Hyo Joo, Lee Jong Suk, Kim Eui Sung, Lee Tae Hwan, Jung Eugene, Lee Si Eon",https://i.mydramalist.com/6wjE0_4c.jpg?v=1,43ae0e3e25194af9b014491ddc311456,['Jeong Dae Yun'],['Song Jae Jung'],South Korea,Drama,16.0,3600.0,2016-07-20,2016-09-14,"Wednesday, Thursday",MBC,15+ - Teens 15 or older,"Oh Sung Moo, the father of cardiothoracic surgeon Oh Yeon Joo, mysteriously goes missing while writing the last chapter of his webtoon ""W"". Yeon Joo goes to his office looking, but a hand from his monitor suddenly pulls her in, and she finds herself on the rooftop of a building, next to a bloodied man. She manages to save the person, only to realize that he is Kang Cheol, the main character of her father's webtoon. Yeon Joo later discovers she can only enter and leave the webtoon depending on Kang Cheol's feelings.(Source: MyDramaList)",511.0,6.0
2247,W.H.Y.,2018.0,"Comedy, Romance, Drama","Break Up,, Vacation,, Multiple Couples,, Miniseries,, Farming,, Older Woman/Younger Man,, Web Series,, Bromance,, Slice Of Life,, Youth",7.9,,"Jung Gun Joo, Oh Ah Yun, Hwang In Youp, Yoo Dong Guk, Lee Ji Won, Lee So Hee",https://i.mydramalist.com/D8xjzc.jpg?v=1,8b05b83d261e4729b0aed950a79a54e3,['Park Dhan Hee'],['Kim Soo Min'],South Korea,Drama,10.0,720.0,2018-11-10,2018-12-13,"Thursday, Saturday",Naver TV Cast vLive,13+ - Teens 13 or older,"Yeon Woo and Joo Hyun met for the first time when they were 17 years old. After 4 years of friendship, the guy invited the girl to date. And then came the 100th day of the relationship, everything was fine, they promised each other to love each other even more, presented gifts, but in the evening the girl left him without explaining the reasons. Yeon Woo is very upset; he doesn’t walk on his own because he still does not know the reason for the separation. Therefore, his friends, in order to distract the guy, go on a trip to Jeju Island. Where they meet two attractive girls, one loves romance novels, and as a friend says, can help to understand the reason for the breakup. Will Yeon Woo figure it out and start living anew?(Source: doramafox.ru)",2502.0,1739.0
2248,WATCHER,2019.0,"Thriller, Mystery, Drama, Political","Smart Male Lead,, Smart Female Lead,, Tragic Past,, Corruption,, Detective Male Lead,, Investigation,, Psychological,, Trauma,, Suspense,, Nice Male Lead",8.3,,"Seo Kang Joon, Han Seok Kyu, Kim Hyun Joo, Park Joo Hee, Heo Sung Tae, Joo Jin Mo",https://i.mydramalist.com/jXbgrc.jpg?v=1,e509c1795c104a239bfb9afde034373c,['Ahn Gil Ho'],['Han Sang Woon'],South Korea,Drama,16.0,3900.0,2019-07-06,2019-08-25,"Saturday, Sunday",OCN,15+ - Teens 15 or older,"After a dramatic incident 15 years ago, a senior detective, Do Chi Kwang, a former prosecutor Han Tae Joo and a young policeman, Kim Young Koon, become members of an internal affairs investigation team to uncover the truth and root out corruption and injustice from within the ranks of the police.(Source: DramaWiki) ",1042.0,853.0
2249,Wang's Family,2013.0,"Comedy, Romance, Drama, Family","Hardworking Female Lead,, Big Family,, Infidelity,, Mother-Daughter Relationship,, Marriage",7.5,,"Lee Yoon Ji, Han Joo Wan, Lee Tae Ran, Oh Man Suk, Oh Hyun Kyung, Jo Sung Ha",https://i.mydramalist.com/E5l4pc.jpg?v=1,,,,,,50.0,,,,,KBS World,Not Yet Rated,"""The Wang family faces a number of challenges: elitism; discrimination; children moving back home after living on their own during colleges; the power dynamics between husband, wife and family; and decisions about when to marry and have a baby given the financial difficulties in todays Korean society. The first daughter had married into a well-off family, but after they went bankrupt she and the family had to move back to her parents home. The second daughter is also having financial difficulties as her husband is jobless, while the third daughter suddenly decided to quit her job."", home. The second daughter is also having financial difficulties as her husband is jobless, while the third daughter suddenly decided to quit her job.",,
2250,Wanna Sleepover,2021.0,,,,,,,26ff3c6f3a2646d9a518460cd86412ef,,,South Korea,Drama,9.0,600.0,2021-04-11,2021-06-21,,,Not Yet Rated,,60860.0,99999.0
2251,Wanna Sleepover Season 2,2021.0,,,,,,,b91a02a9a2124ea48216d02da3251940,,,South Korea,Drama,9.0,600.0,2021-12-19,2022-02-13,Sunday,,Not Yet Rated,,60838.0,99999.0
2252,Wannabe U,2020.0,,,,,,,847d045c26ca42328c84fc9bf6b817b9,,,South Korea,Drama,6.0,720.0,2020-08-26,2020-10-07,Wednesday,Naver TV Cast,13+ - Teens 13 or older,"Han Seo Ha is a bright and cheerful girl in 3rd year of middle school. She dreams of entering Hanlim Multi Art School because she loves singing. But she’s always compared to her older sister Seo Jin.  Seo Jin is a sophomore in Practical Music department in Hanlim Multi Art School. She has an aura of a girl group center. She’s excellent at playing piano, but she isn’t as good as Seo Ha when it comes to singing. Cha Su Ho is a sophomore in Hanlim, his speciality is piano and vocals. He’s tall and good-looking. He has all female students attention, but he isn’t interested in any of them. Do Chae Ah is a sophomore in Hanlim. She receives attention from teachers and students because of her skills and looks. She is always unhappy with Seo Jin. Ban Da Yul is Seo Ha’s best friend, she always carries tarot cards with her and chants strange spells.",54160.0,11595.0
2253,Want More 19,2018.0,"Comedy, Romance, Drama","Student Female Lead,, Student Male Lead,, School Setting,, Teenager Female Lead,, Teenager Male Lead,, Multiple Mains,, Miniseries,, High School,, Web Series,, Multiple Couples",7.6,,"Shin Gi Hwan, Jung Ha Joon, Nam Yoon Su, Jeon Yu Lim, Lee Jung Ha",https://i.mydramalist.com/nEAWBc.jpg?v=1,95c31bef88b54d65ad216312fea98f14,,['Choi Yo Ji'],South Korea,Drama,7.0,600.0,2018-10-24,2018-11-14,"Wednesday, Sunday",Naver TV Cast vLive,Not Yet Rated,"A story of 5 friends in high school. A mutual crush, a one-sided love, and a rough patch for sweethearts. All of this happens as exams come up, will they be able to confess their love? ",4834.0,3639.0
2254,Want a Taste?,2019.0,,,,,,,2ba0546037c44d14b3512b67de3ddf60,['Yoon Ryu Hae'],['Kim Do Hyun'],South Korea,Drama,124.0,1800.0,2019-11-12,2020-05-01,"Monday, Tuesday, Wednesday, Thursday, Friday",SBS,15+ - Teens 15 or older,"Hae Jin is 36-years-old. She is married to Jin Sang, who is 6 years younger than her, and they have a daughter Yoo Ri. Hae Jin runs a restaurant that she took over from her father-in-law. She supported her husband Jin Sang while he studied to enter a university. Because of Hae Jin, Jin Sang is now attending a prestigious university, but he has an affair with Joo Ri. She is the young daughter of a rich family. Hae Jin becomes aware of her husband's affair, but she doesn't want a divorce. Meanwhile, Dae Gu appears in front of Hae Jin. Dae Gu is a drama series writer. He was once in demand for his screenwriting, but his popularity has waned. His marriage life is not doing well either.(Source: AsianWiki)",54959.0,9284.0
